Date,Verse of the Day,URL,Reference Text
2025-12-15,Romans 10:17,https://bible.com/bible/111/ROM.10.17,"Faith comes from hearing the message, and the message is heard through the word about Christ."
2025-12-16,John 1:12,https://bible.com/bible/111/JHN.1.12,"Yet to all who did receive him, to those who believed in his name, he gave the right to become children of God—"
2025-12-17,Ephesians 4:2,https://bible.com/bible/111/EPH.4.2,"Be completely humble and gentle; be patient, bearing with one another in love."
2025-12-18,Hebrews 12:2,https://bible.com/bible/111/HEB.12.2,"fixing our eyes on Jesus, the pioneer and perfecter of faith. For the joy set before him he endured the cross, scorning its shame, and sat down at the right hand of the throne of God."
2025-12-19,Luke 1:35,https://bible.com/bible/111/LUK.1.35,"The angel answered, “The Holy Spirit will come on you, and the power of the Most High will overshadow you. So the holy one to be born will be called the Son of God."
2025-12-20,Luke 1:45,https://my.bible.com/bible/111/LUK.1.45,Blessed is she who has believed that the Lord would fulfill his promises to her!”
2025-12-21,Luke 1:46-47,https://bible.com/bible/111/LUK.1.46-47,"And Mary said: “My soul glorifies the Lord and my spirit rejoices in God my Savior."""
2025-12-22,Luke 2:7,https://www.bible.com/bible/111/LUK.2.7,"and she gave birth to her firstborn, a son. She wrapped him in cloths and placed him in a manger, because there was no guest room available for them."
2025-12-23,Luke 2:9-10,https://bible.com/bible/111/LUK.2.9+LUK.2.10,"An angel of the Lord appeared to them, and the glory of the Lord shone around them, and they were terrified. But the angel said to them, “Do not be afraid. I bring you good news that will cause great joy for all the people."
2025-12-24,Luke 2:11,https://bible.com/bible/111/LUK.2.11,"Today in the town of David a Savior has been born to you; he is the Messiah, the Lord."
2025-12-25,Isaiah 9:6,https://bible.com/bible/111/ISA.9.6,"For to us a child is born, to us a son is given, and the government will be on his shoulders. And he will be called Wonderful Counselor, Mighty God,"
2025-12-26,2 Thessalonians 3:3,https://bible.com/bible/111/2TH.3.3,"But the Lord is faithful, and he will strengthen you and protect you from the evil one."
2025-12-27,Romans 10:9,https://bible.com/bible/111/ROM.10.9,"If you declare with your mouth, 'Jesus is Lord', and believe in your heart that God raised him from the dead, you will be saved."
2025-12-28,2 Corinthians 9:6,https://bible.com/bible/111/2CO.9.6,"Whoever sows sparingly will also reap sparingly, and whoever sows generously will also reap generously."
2025-12-29,1 Kings 8:61,https://bible.com/bible/111/1KI.8.61,"And may your hearts be fully committed to the Lord our God, to live by his decrees and obey his commands, as at this time."
2025-12-30,2 Corinthians 5:17,https://bible.com/bible/111/2CO.5.17,"Therefore, if anyone is in Christ, the new creation has come: The old has gone, the new is here!"
2025-12-31,John 1:5,https://bible.com/bible/111/JHN.1.5,"The light shines in the darkness, and the darkness has not overcome it."
2026-01-01,Isaiah 43:18-19,https://bible.com/bible/111/ISA.43.18-19,"Forget the former things; do not dwell on the past. See, I am doing a new thing! Now it springs up; do you not perceive it?"
2026-01-02,2 Corinthians 4:16,https://bible.com/bible/111/2CO.4.16,"Therefore we do not lose heart. Though outwardly we are wasting away, yet inwardly we are being renewed day by day."
2026-01-03,Mark 2:27,https://bible.com/bible/111/MRK.2.27,"Then he said to them, “The Sabbath was made for man, not man for the Sabbath."
2026-01-04,Psalm 27:4,https://bible.com/bible/111/PSA.27.4,"One thing I ask from the Lord, this only do I seek: that I may dwell in the house of the Lord all the days of my life, to gaze on the beauty of the Lord and to seek him in his temple."
